aus3	Tiffany Hames (#3, Australia)
aus6	Abbey Luttrell (#6, Australia)
aus8	Isabelle Newland (#8, Australia)
aus9	Vanessa Dwyer (#9, Australia)
aus10	Blaise Hodges (#10, Australia)
aus11	Mackenzie Sargeant (#11, Australia)
aus13	Rosemary Burtenshaw (#13, Australia)
aus14	Emilie Rohan (#14, Australia)
aus22	Amanda Bartrim (#22, Australia)
aus23	Shannon Salter (#23, Australia)
aus24	Alexandra Staib (#24, Australia)
aus28	Yasmin Skene (#28, Australia)
aus29	Carolyn Margetts (#29, Australia)
aus34	Tara Meyer (#34, Australia)
aus42	Janelle Miller (#42, Australia)
aus52	Shannon Barnes (#52, Australia)
aus63	Leith Woods (#63, Australia)
aus77	Jessica Birks (#77, Australia)
aus81	Karolina Kambersky (#81, Australia)
