den2	Matilde Christensen (#2, Denmark)
den4	Victoria Wohlert (#4, Denmark)
den5	Klara Fjorder (#5, Denmark)
den6	Katrine Kamman Andersen (#6, Denmark)
den7	Jasmin Damm (#7, Denmark)
den8	Nanna Møller  Sørensen (#8, Denmark)
den10	Emma Vistisen (#10, Denmark)
den11	Ditte Søndermølle Larsen (#11, Denmark)
den12	Lina Voldby (#12, Denmark)
den13	Martina Mørch (#13, Denmark)
den14	Malene Torp (#14, Denmark)
den18	Helle Grønbech (#18, Denmark)
den20	Simone Jørgensen (#20, Denmark)
den23	Cecilia  Di Nardo (#23, Denmark)
den24	Eva Knudsen (#24, Denmark)
den26	Kristine Møller Sørensen (#26, Denmark)
den27	Tanja Mørup (#27, Denmark)
den29	Maria Amalie Møller (#29, Denmark)
den33	Maria Olausson (#33, Denmark)
den89	Stine Moselund (#89, Denmark)
