pol3	Zuzanna Pudzisz (#3, Poland)
pol6	Katarzyna Rogala (#6, Poland)
pol7	Paulina Młynarczyk (#7, Poland)
pol8	Dominika Buczek (#8, Poland)
pol13	Agata Plechan (#13, Poland)
pol14	Joanna Szelzchen (#14, Poland)
pol16	Agnieszka Kozanecka (#16, Poland)
pol18	Klaudia Szelzchen (#18, Poland)
pol19	Magdalena Marek (#19, Poland)
pol21	Agata Arendarczyk  (#21, Poland)
pol28	Patrycja Bernacka  (#28, Poland)
pol37	Agnieszka Timek-Dziadkowiec (#37, Poland)
pol44	Weronika Noga  (#44, Poland)
pol61	Daria Drzymała (#61, Poland)
pol69	Justyna Krzywak (#69, Poland)
pol77	Zuzanna Krzywak (#77, Poland)
pol83	Malwina Zagórska (#83, Poland)
pol88	Katarzyna Pawłowska   (#88, Poland)
pol91	Anna Borkowska (#91, Poland)
pol98	Maja Mazur (#98, Poland)
