sgp3	Xuan Yeo (#3, Singapore)
sgp4	Hui Zhi Tan (#4, Singapore)
sgp6	Mindy Lim (#6, Singapore)
sgp8	Siti Nurhaliza Khairul Anuar (#8, Singapore)
sgp9	Jerelee Ong (#9, Singapore)
sgp11	Pearlynn Lim (#11, Singapore)
sgp13	Nordiana Mohd Yeari (#13, Singapore)
sgp14	Yun Shawn Yee (#14, Singapore)
sgp15	Felicia Lim (#15, Singapore)
sgp16	Jowie Tan (#16, Singapore)
sgp19	Natalia Wee (#19, Singapore)
sgp22	Amanda Yeap (#22, Singapore)
sgp24	Lina Chu (#24, Singapore)
sgp36	Shannon Yeo (#36, Singapore)
sgp39	Debbie Poh (#39, Singapore)
sgp51	Hui Hui Ong (#51, Singapore)
sgp52	Shermaine Goh (#52, Singapore)
sgp66	Michelle Lok (#66, Singapore)
sgp77	Tiffany Ong (#77, Singapore)
sgp99	Fariza Begum Mohamed Zabir (#99, Singapore)
