sui4	Mirjam Hintermann (#4, Switzerland)
sui5	Andrea Gämperli (#5, Switzerland)
sui6	Michelle Wiki (#6, Switzerland)
sui8	Brigitte Mischler (#8, Switzerland)
sui9	Julia Suter (#9, Switzerland)
sui12	Tanja Stella  (#12, Switzerland)
sui15	Nadia Reinhard (#15, Switzerland)
sui17	Isabelle Gerig (#17, Switzerland)
sui18	Margrit Scheidegger (#18, Switzerland)
sui20	Alexandra Frick (#20, Switzerland)
sui21	Corin Rüttimann (#21, Switzerland)
sui22	Seraina Ulber (#22, Switzerland)
sui24	Flurina Marti (#24, Switzerland)
sui26	Nathalie Spichiger (#26, Switzerland)
sui29	Monika Schmid (#29, Switzerland)
sui32	Lisa Liechti (#32, Switzerland)
sui61	Katrin Zwinggi (#61, Switzerland)
sui88	Géraldine Rossier (#88, Switzerland)
sui94	Lara Heini  (#94, Switzerland)
sui96	Chiara Gredig  (#96, Switzerland)
