svk2	Alžbeta Ďuríková (#2, Slovakia)
svk3	Denisa Papierniková (#3, Slovakia)
svk8	Alexandra Faktorová (#8, Slovakia)
svk10	Denisa Ferenčiková (#10, Slovakia)
svk12	Katarína Klapitová (#12, Slovakia)
svk14	Barbora Gáborová (#14, Slovakia)
svk15	Lenka Lenčešová (#15, Slovakia)
svk18	Karolína Krištofová (#18, Slovakia)
svk22	Andrea Šidlová (#22, Slovakia)
svk24	Linda Pudišová (#24, Slovakia)
svk26	Jana Trošková (#26, Slovakia)
svk30	Paulína Hudáková (#30, Slovakia)
svk39	Sára Adamcová  (#39, Slovakia)
svk48	Michaela Šponiarová (#48, Slovakia)
svk71	Kristína Belicová (#71, Slovakia)
svk73	Viktória Grossová (#73, Slovakia)
svk75	Klaudia Robová (#75, Slovakia)
svk81	Klára Grossová (#81, Slovakia)
svk88	Kristina Hudáková (#88, Slovakia)
svk91	Jana Dupčáková (#91, Slovakia)
