tha2	Lalita Kuiraphanew (#2, Thailand)
tha4	Kanyanat Nakpolkrung (#4, Thailand)
tha5	Thararat Duangporn (#5, Thailand)
tha6	Pannee Moolsan (#6, Thailand)
tha8	Nelly Johansson (#8, Thailand)
tha9	Alisa Annika Syrjaenen (#9, Thailand)
tha10	Nina Suppa (#10, Thailand)
tha11	Sukanya Ritngam (#11, Thailand)
tha14	Kamonwan Phumma (#14, Thailand)
tha17	Rungnapa Kebsomrong (#17, Thailand)
tha18	Suthasinee Phalaruk (#18, Thailand)
tha19	Somlak Suttiprapa (#19, Thailand)
tha22	Pornsawan Soramak (#22, Thailand)
tha24	Nipaporn Phansri (#24, Thailand)
tha28	Nittaya Rungrot (#28, Thailand)
tha29	Soraya Klinsrisuk (#29, Thailand)
tha37	Sirinan Boonbut (#37, Thailand)
tha41	Manassaree Prasanpim (#41, Thailand)
tha42	Natthakarn Aunjai (#42, Thailand)
tha69	Thanaporn Tongkham (#69, Thailand)
